Semester,Dept, CourseCode, CourseTitle, Credits, L, T, P
1,BEI, ENEX 101, Fundamental of Electrical and Electronics Engineering,3,3,1,3
1,BEI, ENME 106, Engineering Workshop,1,1,0,3
2,BEI, ENSH 151, Engineering Mathematics II,3,3,2,0
2,BEI, ENCT 151, Object Oriented Programming,3,3,1,3
2,BEI, ENEX 151, Electronic Device and Circuits,3,3,1,3
2,BEI, ENEX 152, Digital Logic,3,3,1,3
2,BEI, ENEE 154, Electrical Circuits and Machines,4,4,1,1.5
2,BEI, ENSH 153, Engineering Chemistry,3,3,1,3
3,BEI, ENSH 201, Engineering Mathematics III,3,3,2,0
3,BEI, ENSH 204, Communication English,3,3,0,1
3,BEI, ENCT 201, Computer Graphics and Visualization,3,3,1,3
3,BEI, ENEX 201, Microprocessors,3,3,1,3
3,BEI, ENEX 202, Advanced Electronics,3,3,1,1.5
3,BEI, ENEE 204, Control System,3,3,1,1.5
4,BEI, ENSH 252, Numerical Methods,3,3,1,3
4,BEI, ENCT 251, Discrete Structure,3,3,1,0
4,BEI, ENEX 252, Instrumentation,4,4,1,1.5
4,BEI, ENEX 253, Computer Organization & Architecture,3,3,1,1.5
4,BEI, ENEX 254, Electromagnetics,3,3,1,1.5
4,BEI, ENEX 255, Signals and Systems,3,3,1,1.5
5,BEI, ENSH 304, Probability and Statistics,3,3,1,0
5,BEI, ENCT 305, Artificial Intelligence,3,3,1,1.5
5,BEI, ENEX 301, Filter Design,3,3,1,1.5
5,BEI, ENEX 302, Embedded Systems,3,3,1,1.5
5,BEI, ENEX 303, Propagation and Antennna,3,3,1,1.5
5,BEI, ENEX 325-344, Elective I,3,3,2,1
6,BEI, ENCT 355, ICT Project Management,3,3,1,0
6,BEI, ENCE 356, Engineering Economics,3,3,1,0
6,BEI, ENEX 351, Communication Systems,4,4,1,3
6,BEI, ENEX 352, Telecommunication and Computer Networks,3,3,1,3
6,BEI, ENEX 353, Minor Project,1,0,0,0
6,BEI, ENEX 385-399, Elective II,3,3,2,1
7,BEI, ENEX 411, RF and Microwave Engineering,3,3,1,1.5
7,BEI, ENEX 412, Robotics,3,3,1,1.5
7,BEI, ENEX 413, Digital Signal Processing,3,3,1,1.5
7,BEI, ENEX 435-444, Elective III,3,3,2,1
7,BEI, ENEX 414, Project I,2,0,0,0
7,BEI, ENEX 415, Wireless Communication,3,3,1,1.5
8,BEI, ENEX 463,Energy Environment and Social Engineering,3,3,0,0
8,BEI, ENEX 462, Internship,4,0,0,0
8,BEI, ENEX 465-484, Elective IV,3,3,2,1
8,BEI, ENEX 461, Project II,4,0,0,0
1,BME, ENSH 101, Engineering Mathematics I,3,3,2,0
1,BME, ENSH 103, Engineering Chemistry,3,3,1,3
1,BME, ENCT 101, Computer Programming,3,3,1,3
1,BME, ENEX 101, Fundamental of Electrical and Electronics Engineering,3,3,1,3
1,BME, ENME 101, Engineering Drawing,2,2,0,4
1,BME, ENME 103, Engineering Mechanics I,3,3,1,0
2,BME, ENSH 151, Engineering Mathematics II,3,3,2,0
2,BME, ENSH 152, Engineering Physics,4,4,1,2
2,BME, ENME 151, Engineering Thermodynamics I,3,3,1,1.5
2,BME, ENME 152, Machine Drawing,2,2,4,0
2,BME, ENME 153, Engineering Mechanics II,3,3,1,0
2,BME, ENME 155, Workshop Technology,3,3,1,3
3,BME, ENSH 201, Engineering Mathematics III,3,3,2,0
3,BME, ENME 201, Material Science,3,3,1,1.5
3,BME, ENME 202, Manufacturing and Production Processes,3,3,1,3
3,BME, ENME 203, Engineering Thermodynamics II,3,3,1,1.5
3,BME, ENME 204, Metrology,3,3,0,1.5
3,BME, ENME 205, Strength of Materials,3,3,1,1.5
4,BME, ENSH 253, Probability and Statistics,3,3,1,0
4,BME, ENEE 254, Electrical Machines,4,4,1,1.5
4,BME, ENME 251, Mechanics of Solids,3,3,1,1.5
4,BME, ENME 252, Instrumentation and Sensors,3,3,1,1.5
4,BME, ENME 253, Computer Aided Design,3,3,1,1.5
4,BME, ENME 254, Fluid Mechanics with Engineering Applications,3,3,1,1.5
5,BME, ENEE 307, Control System and Automation,3,3,1,1.5
5,BME, ENSH 301, Numerical Methods,3,3,1,3
5,BME, ENME 301, Automotive Technology,3,3,1,1.5
5,BME, ENME 302, Fluid Machines,3,3,1,1.5
5,BME, ENME 303, Theory of Machines and Mechanism,3,3,2,0
5,BME, ENME 304, Organization and Management,3,3,1,0
5,BME, ENSH 303, Technical English,1,1,0,0
6,BME, ENME 356, Professional Engineering Economics,3,3,1,0
6,BME, ENME 351, Industrial Engineering and Management,3,3,1,0
